Tỉnh/TP,Tổng số ca,Hôm nay,Tử vong
TP. Hồ Chí Minh,499.268,+679,19.298
Bình Dương,289.870,+94,3.141
Đồng Nai,96.385,+354,1.238
Tây Ninh,69.366,+948,581
Long An,40.018,+74,861
Đồng Tháp,39.601,+782,499
Cần Thơ,37.294,+785,514
Hà Nội,32.981,+1.834,90
Tiền Giang,32.291,+146,850
An Giang,30.894,+299,839
Cà Mau,30.652,+1.334,120
Kiên Giang,28.381,+353,452
Sóc Trăng,28.370,+323,272
Khánh Hòa,27.686,+785,153
Vĩnh Long,25.987,+868,260
Bạc Liêu,25.910,+507,232
Bà Rịa – Vũng Tàu,25.554,+359,131
Bình Thuận,24.424,+185,261
Bến Tre,24.189,+263,147
Bình Phước,20.133,+40,52
Trà Vinh,17.663,+568,103
Bình Định,12.170,+543,50
Hậu Giang,11.482,+78,35
Đà Nẵng,10.624,+140,108
Đắk Lắk,10.608,+263,60
Thừa Thiên Huế,10.601,+399,12
Bắc Ninh,9.395,+289,17
Bắc Giang,7.503,+31,14
Nghệ An,7.107,+114,33
Lâm Đồng,7.033,+229,24
Hà Giang,6.323,+86,6
Thanh Hóa,6.286,+222,13
Gia Lai,6.196,+216,15
Phú Yên,5.855,+353,44
Ninh Thuận,5.378,+51,52
Quảng Nam,5.221,+119,18
Hải Phòng,4.981,+19,7
Quảng Ngãi,4.793,+90,24
Đắk Nông,4.354,+79,13
Hưng Yên,3.571,+296,2
Quảng Bình,3.423,+42,8
Nam Định,2.725,+121,2
Hải Dương,2.719,+44,1
Phú Thọ,2.690,+59,3
Vĩnh Phúc,2.358,+104,6
Quảng Ninh,2.330,+98,1
Thái Bình,2.303,+61,0
Hà Nam,1.840,+48,0
Quảng Trị,1.646,+70,4
Hà Tĩnh,1.536,+35,5
Thái Nguyên,1.403,+37,1
Lạng Sơn,1.291,+34,4
Hòa Bình,1.117,+48,3
Tuyên Quang,923,+28,0
Sơn La,680,+19,0
Kon Tum,671,+48,0
Điện Biên,550,+4,0
Ninh Bình,525,-,0
Yên Bái,506,+14,0
Lào Cai,385,+12,0
Cao Bằng,328,+10,1
Lai Châu,62,+7,0
Bắc Kạn,47,+2,0
